question,answer
Tell me about the Kiwi Martini cocktail.,"question Generate a cocktail with Kiwi Sugar Syrup Vodka Kiwi answer The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink. For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
What is in a Lazy Coconut Paloma?,"Lazy Coconut Paloma contains: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
What ingredients are in a Lazy Coconut Paloma?,"The ingredients for Lazy Coconut Paloma are: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
List the ingredients of a Lazy Coconut Paloma.,"Lazy Coconut Paloma uses: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
What's in the Lazy Coconut Paloma cocktail?,"The Lazy Coconut Paloma cocktail contains: 30 ml Coconut Liqueur, 75 ml Grapefruit Juice, Top Soda Water."
Does a Lazy Coconut Paloma contain Coconut Liqueur?,Yes — Lazy Coconut Paloma includes Coconut Liqueur.
How to prepare a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How do you make a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How is a Lazy Coconut Paloma made?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
What are the steps to make a Lazy Coconut Paloma?,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
How do I serve a Lazy Coconut Paloma?,Serve a Lazy Coconut Paloma in a Highball glass.
Is a Lazy Coconut Paloma alcoholic?,Lazy Coconut Paloma is listed as: Alcoholic.
Does Lazy Coconut Paloma contain alcohol?,Lazy Coconut Paloma is listed as: Alcoholic.
What category is a Lazy Coconut Paloma?,Lazy Coconut Paloma is in the category: Cocktail.
"Is Lazy Coconut Paloma a cocktail, shot, or something else?",Lazy Coconut Paloma is in the category: Cocktail.
What glass is a Lazy Coconut Paloma served in?,Lazy Coconut Paloma is served in a Highball glass.
What glassware do I need for a Lazy Coconut Paloma?,You need a Highball glass for a Lazy Coconut Paloma.
Tell me about the Lazy Coconut Paloma cocktail.,question Generate a cocktail with Coconut Liqueur Grapefruit Juice Soda Water answer Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
What is in a Long Island Iced Tea?,"Long Island Iced Tea contains: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
What ingredients are in a Long Island Iced Tea?,"The ingredients for Long Island Iced Tea are: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
List the ingredients of a Long Island Iced Tea.,"Long Island Iced Tea uses: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
What's in the Long Island Iced Tea cocktail?,"The Long Island Iced Tea cocktail contains: 1/2 oz Vodka, 1/2 oz Tequila, 1/2 oz Light rum, 1/2 oz Gin, 1 dash Coca-Cola, Twist of Lemon peel."
Does a Long Island Iced Tea contain Vodka?,Yes — Long Island Iced Tea includes Vodka.
How to prepare a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How do you make a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How is a Long Island Iced Tea made?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
What are the steps to make a Long Island Iced Tea?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
How do I serve a Long Island Iced Tea?,Serve a Long Island Iced Tea in a Highball glass.
Is a Long Island Iced Tea alcoholic?,Long Island Iced Tea is listed as: Alcoholic.
Does Long Island Iced Tea contain alcohol?,Long Island Iced Tea is listed as: Alcoholic.
What category is a Long Island Iced Tea?,Long Island Iced Tea is in the category: Ordinary Drink.
"Is Long Island Iced Tea a cocktail, shot, or something else?",Long Island Iced Tea is in the category: Ordinary Drink.
What glass is a Long Island Iced Tea served in?,Long Island Iced Tea is served in a Highball glass.
What glassware do I need for a Long Island Iced Tea?,You need a Highball glass for a Long Island Iced Tea.
Tell me about the Long Island Iced Tea cocktail.,question Generate a cocktail with Vodka Tequila Light rum Gin Coca-Cola Lemon peel answer Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
What is in a Mojito?,"Mojito contains: Light rum, Lime, Sugar, Mint, Soda water."
What ingredients are in a Mojito?,"The ingredients for Mojito are: Light rum, Lime, Sugar, Mint, Soda water."
List the ingredients of a Mojito.,"Mojito uses: Light rum, Lime, Sugar, Mint, Soda water."
What's in the Mojito cocktail?,"The Mojito cocktail contains: Light rum, Lime, Sugar, Mint, Soda water."
Does a Mojito contain Light rum?,Yes — Mojito includes Light rum.
How to prepare a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How do you make a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How is a Mojito made?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
What are the steps to make a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How do I serve a Mojito?,Serve a Mojito in a Highball glass.
Is a Mojito alcoholic?,Mojito is listed as: Alcoholic.
Does Mojito contain alcohol?,Mojito is listed as: Alcoholic.
What category is a Mojito?,Mojito is in the category: Cocktail.
"Is Mojito a cocktail, shot, or something else?",Mojito is in the category: Cocktail.
What glass is a Mojito served in?,Mojito is served in a Highball glass.
What glassware do I need for a Mojito?,You need a Highball glass for a Mojito.
Tell me about the Mojito cocktail.,question Generate a cocktail with Light rum Lime Sugar Mint Soda water answer Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
What is in a Martini?,"Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What ingredients are in a Martini?,"The ingredients for Martini are: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
List the ingredients of a Martini.,"Martini uses: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
What's in the Martini cocktail?,"The Martini cocktail contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Does a Martini contain Gin?,Yes — Martini includes Gin.
How to prepare a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do you make a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How is a Martini made?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What are the steps to make a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do I serve a Martini?,Serve a Martini in a Cocktail glass.
Is a Martini alcoholic?,Martini is listed as: Alcoholic.
Does Martini contain alcohol?,Martini is listed as: Alcoholic.
What category is a Martini?,Martini is in the category: Cocktail.
"Is Martini a cocktail, shot, or something else?",Martini is in the category: Cocktail.
What glass is a Martini served in?,Martini is served in a Cocktail glass.
What glassware do I need for a Martini?,You need a Cocktail glass for a Martini.
Tell me about the Martini cocktail.,"question Generate a cocktail with Gin Dry Vermouth Olive answer Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
What is in a Manhattan?,"Manhattan contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
What ingredients are in a Manhattan?,"The ingredients for Manhattan are: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
List the ingredients of a Manhattan.,"Manhattan uses: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
What's in the Manhattan cocktail?,"The Manhattan cocktail contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
Does a Manhattan contain Sweet Vermouth?,Yes — Manhattan includes Sweet Vermouth.
How to prepare a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do you make a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How is a Manhattan made?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
What are the steps to make a Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do I serve a Manhattan?,Serve a Manhattan in a Cocktail glass.
Is a Manhattan alcoholic?,Manhattan is listed as: Alcoholic.
Does Manhattan contain alcohol?,Manhattan is listed as: Alcoholic.
What category is a Manhattan?,Manhattan is in the category: Cocktail.
"Is Manhattan a cocktail, shot, or something else?",Manhattan is in the category: Cocktail.
What glass is a Manhattan served in?,Manhattan is served in a Cocktail glass.
What glassware do I need for a Manhattan?,You need a Cocktail glass for a Manhattan.
Tell me about the Manhattan cocktail.,"question Generate a cocktail with Sweet Vermouth Bourbon Angostura bitters Ice Maraschino cherry Orange peel answer Stirred over ice, strained into a chilled glass, garnished, and served up."
What is in a Margarita?,"Margarita contains: Tequila, Triple sec, Lime juice, Salt."
What ingredients are in a Margarita?,"The ingredients for Margarita are: Tequila, Triple sec, Lime juice, Salt."
List the ingredients of a Margarita.,"Margarita uses: Tequila, Triple sec, Lime juice, Salt."
What's in the Margarita cocktail?,"The Margarita cocktail contains: Tequila, Triple sec, Lime juice, Salt."
Does a Margarita contain Tequila?,Yes — Margarita includes Tequila.
How to prepare a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How do you make a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How is a Margarita made?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
What are the steps to make a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How do I serve a Margarita?,Serve a Margarita in a Cocktail glass.
Is a Margarita alcoholic?,Margarita is listed as: Alcoholic.
Does Margarita contain alcohol?,Margarita is listed as: Alcoholic.
What category is a Margarita?,Margarita is in the category: Ordinary Drink.
"Is Margarita a cocktail, shot, or something else?",Margarita is in the category: Ordinary Drink.
What glass is a Margarita served in?,Margarita is served in a Cocktail glass.
What glassware do I need for a Margarita?,You need a Cocktail glass for a Margarita.
Tell me about the Margarita cocktail.,"question Generate a cocktail with Tequila Triple sec Lime juice Salt answer Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
What is in a Moscow Mule?,"Moscow Mule contains: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
What ingredients are in a Moscow Mule?,"The ingredients for Moscow Mule are: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
List the ingredients of a Moscow Mule.,"Moscow Mule uses: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
What's in the Moscow Mule cocktail?,"The Moscow Mule cocktail contains: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
Does a Moscow Mule contain Vodka?,Yes — Moscow Mule includes Vodka.
How to prepare a Moscow Mule?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
How do you make a Moscow Mule?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
How is a Moscow Mule made?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
What are the steps to make a Moscow Mule?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
How do I serve a Moscow Mule?,Serve a Moscow Mule in a Copper Mug.
Is a Moscow Mule alcoholic?,Moscow Mule is listed as: Alcoholic.
Does Moscow Mule contain alcohol?,Moscow Mule is listed as: Alcoholic.
What category is a Moscow Mule?,Moscow Mule is in the category: Punch / Party Drink.
"Is Moscow Mule a cocktail, shot, or something else?",Moscow Mule is in the category: Punch / Party Drink.
What glass is a Moscow Mule served in?,Moscow Mule is served in a Copper Mug.
What glassware do I need for a Moscow Mule?,You need a Copper Mug for a Moscow Mule.
Tell me about the Moscow Mule cocktail.,question Generate a cocktail with Vodka Lime juice Ginger ale answer Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
What is in a Mango Mojito?,"Mango Mojito contains: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
What ingredients are in a Mango Mojito?,"The ingredients for Mango Mojito are: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
List the ingredients of a Mango Mojito.,"Mango Mojito uses: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
What's in the Mango Mojito cocktail?,"The Mango Mojito cocktail contains: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
Does a Mango Mojito contain Lime?,Yes — Mango Mojito includes Lime.
How to prepare a Mango Mojito?,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
How do you make a Mango Mojito?,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
How is a Mango Mojito made?,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
What are the steps to make a Mango Mojito?,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
How do I serve a Mango Mojito?,Serve a Mango Mojito in a Jar.
Is a Mango Mojito alcoholic?,Mango Mojito is listed as: Alcoholic.
Does Mango Mojito contain alcohol?,Mango Mojito is listed as: Alcoholic.
What category is a Mango Mojito?,Mango Mojito is in the category: Cocktail.
"Is Mango Mojito a cocktail, shot, or something else?",Mango Mojito is in the category: Cocktail.
What glass is a Mango Mojito served in?,Mango Mojito is served in a Jar.
What glassware do I need for a Mango Mojito?,You need a Jar for a Mango Mojito.
Tell me about the Mango Mojito cocktail.,"question Generate a cocktail with Lime Mango Mint White Rum Ice Soda Water Mango answer Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
What is in a Mojito Extra?,"Mojito Extra contains: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
What ingredients are in a Mojito Extra?,"The ingredients for Mojito Extra are: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
List the ingredients of a Mojito Extra.,"Mojito Extra uses: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
What's in the Mojito Extra cocktail?,"The Mojito Extra cocktail contains: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
Does a Mojito Extra contain Mint?,Yes — Mojito Extra includes Mint.
How to prepare a Mojito Extra?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
How do you make a Mojito Extra?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
How is a Mojito Extra made?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
What are the steps to make a Mojito Extra?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
How do I serve a Mojito Extra?,Serve a Mojito Extra in a Collins glass.
Is a Mojito Extra alcoholic?,Mojito Extra is listed as: Alcoholic.
Does Mojito Extra contain alcohol?,Mojito Extra is listed as: Alcoholic.
What category is a Mojito Extra?,Mojito Extra is in the category: Cocktail.
"Is Mojito Extra a cocktail, shot, or something else?",Mojito Extra is in the category: Cocktail.
What glass is a Mojito Extra served in?,Mojito Extra is served in a Collins glass.
What glassware do I need for a Mojito Extra?,You need a Collins glass for a Mojito Extra.
Tell me about the Mojito Extra cocktail.,"question Generate a cocktail with Mint Lemon juice Dark rum Club soda Angostura bitters answer Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
What is in a Negroni?,"Negroni contains: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
What ingredients are in a Negroni?,"The ingredients for Negroni are: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
List the ingredients of a Negroni.,"Negroni uses: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
What's in the Negroni cocktail?,"The Negroni cocktail contains: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
Does a Negroni contain Gin?,Yes — Negroni includes Gin.
How to prepare a Negroni?,"Stir into glass over ice, garnish and serve."
How do you make a Negroni?,"Stir into glass over ice, garnish and serve."
How is a Negroni made?,"Stir into glass over ice, garnish and serve."
What are the steps to make a Negroni?,"Stir into glass over ice, garnish and serve."
How do I serve a Negroni?,Serve a Negroni in a Old-fashioned glass.
Is a Negroni alcoholic?,Negroni is listed as: Alcoholic.
Does Negroni contain alcohol?,Negroni is listed as: Alcoholic.
What category is a Negroni?,Negroni is in the category: Ordinary Drink.
"Is Negroni a cocktail, shot, or something else?",Negroni is in the category: Ordinary Drink.
What glass is a Negroni served in?,Negroni is served in a Old-fashioned glass.
What glassware do I need for a Negroni?,You need a Old-fashioned glass for a Negroni.
Tell me about the Negroni cocktail.,"question Generate a cocktail with Gin Campari Sweet Vermouth answer Stir into glass over ice, garnish and serve."
What is in a Old Fashioned?,"Old Fashioned contains: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
What ingredients are in a Old Fashioned?,"The ingredients for Old Fashioned are: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
List the ingredients of a Old Fashioned.,"Old Fashioned uses: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
What's in the Old Fashioned cocktail?,"The Old Fashioned cocktail contains: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
Does a Old Fashioned contain Bourbon?,Yes — Old Fashioned includes Bourbon.
How to prepare a Old Fashioned?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
How do you make a Old Fashioned?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
How is a Old Fashioned made?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
What are the steps to make a Old Fashioned?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
How do I serve a Old Fashioned?,Serve a Old Fashioned in a Old-fashioned glass.
Is a Old Fashioned alcoholic?,Old Fashioned is listed as: Alcoholic.
Does Old Fashioned contain alcohol?,Old Fashioned is listed as: Alcoholic.
What category is a Old Fashioned?,Old Fashioned is in the category: Cocktail.
"Is Old Fashioned a cocktail, shot, or something else?",Old Fashioned is in the category: Cocktail.
What glass is a Old Fashioned served in?,Old Fashioned is served in a Old-fashioned glass.
What glassware do I need for a Old Fashioned?,You need a Old-fashioned glass for a Old Fashioned.
Tell me about the Old Fashioned cocktail.,"question Generate a cocktail with Bourbon Angostura bitters Sugar Water answer Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
What is in a Paloma?,"Paloma contains: 3 oz Grape Soda, 1 1/2 oz Tequila."
What ingredients are in a Paloma?,"The ingredients for Paloma are: 3 oz Grape Soda, 1 1/2 oz Tequila."
List the ingredients of a Paloma.,"Paloma uses: 3 oz Grape Soda, 1 1/2 oz Tequila."
What's in the Paloma cocktail?,"The Paloma cocktail contains: 3 oz Grape Soda, 1 1/2 oz Tequila."
Does a Paloma contain Grape Soda?,Yes — Paloma includes Grape Soda.
How to prepare a Paloma?,Stir together and serve over ice.
How do you make a Paloma?,Stir together and serve over ice.
How is a Paloma made?,Stir together and serve over ice.
What are the steps to make a Paloma?,Stir together and serve over ice.
How do I serve a Paloma?,Serve a Paloma in a Collins glass.
Is a Paloma alcoholic?,Paloma is listed as: Alcoholic.
Does Paloma contain alcohol?,Paloma is listed as: Alcoholic.
What category is a Paloma?,Paloma is in the category: Cocktail.
"Is Paloma a cocktail, shot, or something else?",Paloma is in the category: Cocktail.
What glass is a Paloma served in?,Paloma is served in a Collins glass.
What glassware do I need for a Paloma?,You need a Collins glass for a Paloma.
Tell me about the Paloma cocktail.,question Generate a cocktail with Grape Soda Tequila answer Stir together and serve over ice.
What is in a Pina Colada?,"Pina Colada contains: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
What ingredients are in a Pina Colada?,"The ingredients for Pina Colada are: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
List the ingredients of a Pina Colada.,"Pina Colada uses: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
What's in the Pina Colada cocktail?,"The Pina Colada cocktail contains: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
Does a Pina Colada contain Light rum?,Yes — Pina Colada includes Light rum.
How to prepare a Pina Colada?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
How do you make a Pina Colada?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
How is a Pina Colada made?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
What are the steps to make a Pina Colada?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
How do I serve a Pina Colada?,Serve a Pina Colada in a Collins glass.
Is a Pina Colada alcoholic?,Pina Colada is listed as: Alcoholic.
Does Pina Colada contain alcohol?,Pina Colada is listed as: Alcoholic.
What category is a Pina Colada?,Pina Colada is in the category: Ordinary Drink.
"Is Pina Colada a cocktail, shot, or something else?",Pina Colada is in the category: Ordinary Drink.
What glass is a Pina Colada served in?,Pina Colada is served in a Collins glass.
What glassware do I need for a Pina Colada?,You need a Collins glass for a Pina Colada.
Tell me about the Pina Colada cocktail.,"question Generate a cocktail with Light rum Coconut milk Pineapple answer Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
What is in a Pineapple Paloma?,"Pineapple Paloma contains: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
What ingredients are in a Pineapple Paloma?,"The ingredients for Pineapple Paloma are: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
List the ingredients of a Pineapple Paloma.,"Pineapple Paloma uses: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
What's in the Pineapple Paloma cocktail?,"The Pineapple Paloma cocktail contains: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
Does a Pineapple Paloma contain Tequila?,Yes — Pineapple Paloma includes Tequila.
How to prepare a Pineapple Paloma?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
How do you make a Pineapple Paloma?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
